country: DE;;;;;;;;;;;
;;;;;;;;;;;
[media plan];;;;;;;;;;;
weektime;daytime;ARD;RTL;PRO7;RTL II;KABEL 1;VOX;N-TV;N 24;SPORT1;DMAX
weekday;06:00-12:59;14;8;;;;;14;8;;
weekday;13:00-19:59;17;11;;;;;17;11;2;
weekday;20:00-00:59;;;1;;;;2;2;3;
weekday;16:00-18:00;;;1;;;;5;5;9;4
weekday;18:00-20:00;1;;5;1;6;;26;17;8;18
weekday;20:00-22:00;3;1;3;2;8;3;34;18;10;15
weekday;22:00-00:00;2;1;2;1;12;1;25;18;14;14
weekday;Rest;1;;;;1;1;9;6;;5
weekend;06:00-12:59;14;5;;;;;9;9;1;
weekend;13:00-19:59;7;2;2;3;3;;21;30;15;
weekend;20:00-00:59;1;1;5;2;4;;15;21;4;8
weekend;16:00-18:00;;2;4;2;1;6;8;11;2;6
weekend;18:00-20:00;1;;4;4;4;2;14;5;2;4
weekend;20:00-22:00;2;6;1;;4;;7;2;3;2
weekend;22:00-00:00;3;4;9;1;6;3;7;2;1;
weekend;Rest;;3;1;;;1;3;5;;
[media plan];;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[reach];;;;;;;;;;;
daytime;channel;weekday;weekend;;;;;;;;
06:00-12:59;ARD;0,584819716;0,781266537;;;;;;;;
06:00-12:59;RTL;0,782899155;0,525357504;;;;;;;;
06:00-12:59;PRO7;1;2;;;;;;;;
13:00-19:59;ARD;1,074217468;1,265317053;;;;;;;;
13:00-19:59;RTL;0,885817282;1,074217468;;;;;;;;
20:00-00:59;random;1,692319;1,251233596;;;;;;;;
20:00-00:59;ARD;1,692319;1,251233596;;;;;;;;
20:00-00:59;RTL;1,300526768;1,692319;;;;;;;;
[reach];;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[contact distribution];;;;;;;;;;;
contacts;distribution;;;;;;;;;;
0;27,4;;;;;;;;;;
1;15,28069218;;;;;;;;;;
2;11,48117073;;;;;;;;;;
3;8,917817796;;;;;;;;;;
4;6,834481182;;;;;;;;;;
5;5,23097053;;;;;;;;;;
6;4,241385126;;;;;;;;;;
7;3,896127458;;;;;;;;;;
8;2,724438014;;;;;;;;;;
9;2,154741342;;;;;;;;;;
10;1,888520444;;;;;;;;;;
11;1,739543057;;;;;;;;;;
12;1,557543235;;;;;;;;;;
13;1,024658049;;;;;;;;;;
14;0,896049655;;;;;;;;;;
15;0,76921913;;;;;;;;;;
16;0,654824588;;;;;;;;;;
17;0,503602214;;;;;;;;;;
18;0,386880442;;;;;;;;;;
19;0,315765255;;;;;;;;;;
20;0,275921965;;;;;;;;;;
21;0,213489194;;;;;;;;;;
22;0,221254884;;;;;;;;;;
23;0,195684262;;;;;;;;;;
24;0,158569502;;;;;;;;;;
25;0,158068809;;;;;;;;;;
26;0,159161318;;;;;;;;;;
27;0,111946948;;;;;;;;;;
28;0,070686786;;;;;;;;;;
29;0,069208231;;;;;;;;;;
30;0,057858533;;;;;;;;;;
31;0,03841844;;;;;;;;;;
32;0,030431695;;;;;;;;;;
33;0,059867456;;;;;;;;;;
34;0,045434858;;;;;;;;;;
35;0,032661881;;;;;;;;;;
36;0,012321941;;;;;;;;;;
37;0,008369421;;;;;;;;;;
38;0,010050286;;;;;;;;;;
39;0,015119388;;;;;;;;;;
40;0,144903665;;;;;;;;;;
[contact distribution];;;;;;;;;;;
